Method,Signal,Mode Index,Peak Frequency (Hz),Reconstruction MSE (Full),Reconstruction MSE (First 4 Modes),Number of Extracted Modes
EMD,pure_oscillations,0,10.0,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,1,6.0,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,2,2.0,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,3,0.793939393939394,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,4,0.509090909090909,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,5,0.16666666666666666,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,6,0.10606060606060606,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations,7,0.03636363636363636,0.5312713929928387,0.5313677035031281,8
EMD,pure_oscillations_with_noise,0,9.818181818181818,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,1,4.084848484848485,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,2,1.8181818181818181,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,3,0.9363636363636364,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,4,0.43333333333333335,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,5,0.28484848484848485,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,6,0.11212121212121212,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,7,0.03939393939393939,1821006.8866276422,1821008.5029450879,9
EMD,pure_oscillations_with_noise,8,0.0030303030303030303,1821006.8866276422,1821008.5029450879,9
EMD,mrw_modulated,0,10.0,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,1,6.0,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,2,2.0,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,3,0.6333333333333333,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,4,0.3090909090909091,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,5,0.18181818181818182,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated,6,0.0696969696969697,0.5817695262865822,0.5818284712813261,7
EMD,mrw_modulated_with_noise,0,9.227272727272727,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,1,4.493939393939394,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,2,2.381818181818182,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,3,0.9121212121212121,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,4,0.43636363636363634,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,5,0.20303030303030303,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,6,0.09090909090909091,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,7,0.02727272727272727,2128760.849862084,2128761.690938307,9
EMD,mrw_modulated_with_noise,8,0.0030303030303030303,2128760.849862084,2128761.690938307,9
VMDtransformer,pure_oscillations,0,10.0,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,1,10.0,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,2,6.0,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,3,1.121212121212121,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,4,10.0,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,5,16.060606060606062,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations,6,30.0,0.5313184793339648,0.5438825581681348,7
VMDtransformer,pure_oscillations_with_noise,0,0.0030303030303030303,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,1,5.121212121212121,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,2,0.45454545454545453,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,3,1.4484848484848485,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,4,2.9727272727272727,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,5,7.845454545454546,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,6,11.366666666666667,1821006.8866330509,1821006.887039928,8
VMDtransformer,pure_oscillations_with_noise,7,15.603030303030303,1821006.8866330509,1821006.887039928,8
VMDtransformer,mrw_modulated,0,6.0,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated,1,10.0,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated,2,6.0,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated,3,1.7787878787878788,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated,4,16.393939393939394,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated,5,30.0,0.5818399044679915,0.5922481583997967,6
VMDtransformer,mrw_modulated_with_noise,0,0.0030303030303030303,2128760.849867488,2128760.8502748567,8
VMDtransformer,mrw_modulated_with_noise,1,5.066666666666666,2128760.849867488,2128760.8502748567,8
VMDtransformer,mrw_modulated_with_noise,2,0.4484848484848485,2128760.849867488,2128760.8502748567,8
