Method,Signal,Mode Index,Peak Frequency (Hz),Reconstruction MSE (Full),Reconstruction MSE (First N Modes),Number of Extracted Modes,AM,BM,Entropy,Centroid,Power Spectrum Sum,Skewness,Kurtosis,Hjorth Mobility,Hjorth Complexity
EMD,pure,0,80.0,2.5985715614956294e-40,0.0013565961114506303,9,0.672676404888413,43089.12588126574,2.846165420219476,77.09962496675276,172.3565035247819,5.9479412336122975e-06,-1.7522385199472812,1.6538125568919049,1.0203238801011096
EMD,pure,1,30.0,2.5985715614956294e-40,0.0013565961114506303,9,0.6057743840220479,37834.96382632769,3.8219097824062187,30.0181151792538,151.3398552962348,1.6830738733542156e-05,-1.4874962619304248,0.7369221959853373,1.0030164894518283
EMD,pure,2,10.0,2.5985715614956294e-40,0.0013565961114506303,9,0.802419670230159,72236.61370198711,4.1729285833116,9.187074819513033,288.9464548042482,1.055301500957834e-05,-1.0060982254452395,0.23394954559893896,1.044096537333961
EMD,pure,3,6.0,2.5985715614956294e-40,0.0013565961114506303,9,0.26089403122666605,6978.8156268382445,3.3792031116230965,6.037481708808677,27.91526247572532,-0.00018340973424742,-1.41356265892343,0.15074315351367723,1.0136996503277753
EMD,pure,4,2.0,2.5985715614956294e-40,0.0013565961114506303,9,0.04628761772207039,219.2732852899394,3.240308492294778,2.064080889006061,0.8770931402888742,-0.0009360187000546706,-1.3463684904396265,0.050347652098456555,1.0040384588947249
EMD,pure,5,0.05454545454545454,2.5985715614956294e-40,0.0013565961114506303,9,0.003436059826653593,10.802993176467192,1.1104382854585775,0.24916912592342316,0.04321064177609271,-0.5664302217420731,15.577854158113755,0.007312474024048729,2.4420017533280616
EMD,pure,6,0.03636363636363636,2.5985715614956294e-40,0.0013565961114506303,9,0.007954627534149866,25.650844739316735,2.131378754943539,0.11843528641674754,0.10214853811454865,-0.39850318277934527,5.016086359357828,0.002628870446034712,2.0346051802664036
EMD,pure,7,0.03939393939393939,2.5985715614956294e-40,0.0013565961114506303,9,0.006841427395329634,13.698914339299664,2.7768375753673453,0.09044480058140936,0.054761104595089996,0.22723983201388676,2.824940081744546,0.0015669558739870183,1.0351944572958371
EMD,pure,8,0.02727272727272727,2.5985715614956294e-40,0.0013565961114506303,9,0.003123776720983765,2.5684358443783917,2.9118485810968044,0.05803314901523372,0.010071331392499277,1.2977296245789938,2.9664540315601036,0.0009390945101776621,0.9925534144260569
EMD,mrw_modulated,0,80.0,1.6082708417780806e-36,0.28998028049427216,9,0.0004142190798701407,0.021562294083721595,3.141481138696989,80.16522106080963,8.624892439917914e-05,-0.0018260149442018553,1.4855662902547166,1.6620708393362986,1.0567264463761035
EMD,mrw_modulated,1,30.0,1.6082708417780806e-36,0.28998028049427216,9,0.0002773673252214785,0.01086096639085752,3.428144969407054,37.54354432607303,4.3443819504502694e-05,-0.008959346203034589,1.3400738142714204,0.9420628247058737,1.1956631517992635
EMD,mrw_modulated,2,30.0,1.6082708417780806e-36,0.28998028049427216,9,0.00022300949155114146,0.006838024869565146,3.297850035097486,26.053740179916428,2.7352065495422242e-05,-0.004766405708721973,1.5471361296291946,0.6676570187850269,1.1347484902283207
EMD,mrw_modulated,3,10.0,1.6082708417780806e-36,0.28998028049427216,9,0.0002424329266584856,0.008641991367247007,3.4316419343140137,11.335856028168527,3.4567939630660195e-05,-0.014583474649578076,1.8311572049380285,0.3035411473746092,1.3294241519562078
EMD,mrw_modulated,4,6.0,1.6082708417780806e-36,0.28998028049427216,9,0.00029037821335368,0.011447127709590844,3.6935688462989913,7.180629133852111,4.578815101776624e-05,-0.029856990131925464,0.8863244628110345,0.19094761765585633,1.2441249876150056
EMD,mrw_modulated,5,6.0,1.6082708417780806e-36,0.28998028049427216,9,0.00018853824081511557,0.005115747551699382,3.090173009194734,5.176570764539947,2.046289386874093e-05,0.008976872002160454,2.6101179941745123,0.13501707875895178,1.1312704565362441
EMD,mrw_modulated,6,2.7363636363636363,1.6082708417780806e-36,0.28998028049427216,9,8.261356394134573e-05,0.0010153781716773736,3.0019503902303457,2.493028230255736,4.0614479211872056e-06,0.04003582667467792,5.364346310653703,0.06609668477540583,1.2122110542630065
EMD,mrw_modulated,7,1.3818181818181818,1.6082708417780806e-36,0.28998028049427216,9,5.648605504839552e-05,0.0004792372552978351,3.3004452679878367,1.2380477134812726,1.916649571104637e-06,-0.11676036119480897,3.3237443356340792,0.033053375631772276,1.235146212960014
EMD,mrw_modulated,8,0.32727272727272727,1.6082708417780806e-36,0.28998028049427216,9,5.4528142899493356e-05,0.0004269943561076366,3.5266555398816486,0.48919544652543234,1.7079769824025987e-06,-0.07253023462249245,2.207176502973719,0.013745307123717056,1.4635820771185906
EMD,mrw_with_fbm,0,80.0,4.859633032743212e-34,0.546710446252022,9,0.0004670322622508112,0.025235247687412133,3.574116447925982,80.14519503134206,0.00010094089374768832,0.00012171636151061142,-0.17103826331450422,1.657773136696232,1.0624712519675394
EMD,mrw_with_fbm,1,30.0,4.859633032743212e-34,0.546710446252022,9,0.0003173980804438601,0.01378783075387251,3.198172962931916,39.31906159012673,5.515132128259938e-05,0.0007461379583679193,1.3786800677433275,0.9821404000328797,1.1984290263651993
EMD,mrw_with_fbm,2,30.0,4.859633032743212e-34,0.546710446252022,9,0.00027376994055778757,0.009736265905230369,3.572353102879611,26.459237373020386,3.8945044702912745e-05,-0.009060461673654643,0.46841321831968674,0.6774466183566729,1.1414428337103384
EMD,mrw_with_fbm,3,10.0,4.859633032743212e-34,0.546710446252022,9,0.0002889948877188139,0.011813076504706893,3.3494028400986253,12.321259634410659,4.725188755943088e-05,0.006844478028952686,1.6875363772411198,0.3332226879340001,1.3377580010476906
EMD,mrw_with_fbm,4,6.0,4.859633032743212e-34,0.546710446252022,9,0.00034377461407590425,0.015494123260112097,3.747938861278905,7.5392342209107595,6.197645641894262e-05,0.001262970499074662,0.38036128709322004,0.20096857192904805,1.2402468543161211
EMD,mrw_with_fbm,5,6.0,4.859633032743212e-34,0.546710446252022,9,0.00025978444436624887,0.009087181894833535,3.4955928704167114,4.89256593482475,3.634871663997938e-05,-0.002152658874401209,0.9681490083562507,0.1291325165189404,1.1697121065142824
EMD,mrw_with_fbm,6,2.06969696969697,4.859633032743212e-34,0.546710446252022,9,0.00020044967410149343,0.005264702602889003,4.016521038008663,2.3567497607254606,2.105719416324119e-05,-0.004227377904313221,0.08500519926083161,0.06365459288556767,1.2702743669715941
EMD,mrw_with_fbm,7,1.0151515151515151,4.859633032743212e-34,0.546710446252022,9,0.00016638882530087702,0.0037750120854557544,4.053973852663615,1.2167491240736572,1.5099575673249139e-05,0.0007203512585036656,0.2537392200155115,0.03256380575956428,1.2483204916234216
EMD,mrw_with_fbm,8,0.012121212121212121,4.859633032743212e-34,0.546710446252022,9,0.0005180611022446526,0.034474103324957275,4.0547512938284545,0.134871447056339,0.00013514573222417702,-0.39350155689020805,0.27361993463715795,0.006155062775809509,2.9707353987202065
VMD,pure,0,6.0,1.0875914468551483e-15,0.42137877598959805,5,0.07561770840225872,614.7577683626375,2.639193596603742,6.439659096051928,2.459031073450549,-0.004754656290773311,1.7861044893606728,0.15754887151431482,1.0937819720401847
VMD,pure,1,30.0,1.0875914468551483e-15,0.42137877598959805,5,0.636087971613989,41250.126365827,3.64403078061591,29.99763927819537,165.00050546330803,8.70674711072981e-07,-1.4995431846735126,0.7362185449154779,1.000048980410633
VMD,pure,2,80.0,1.0875914468551483e-15,0.42137877598959805,5,0.14531252015130222,2158.6873597896615,3.2703217818334673,79.9990730352368,8.634749439158647,0.00011659556355824886,-1.4929055438608059,1.688653302333877,1.0000058933115679
VMD,pure,3,80.0,1.0875914468551483e-15,0.42137877598959805,5,0.4902573409062174,24539.299834339614,3.1593799175844497,79.99991787135741,98.15719933735845,1.1782196136890229e-05,-1.4982613832659257,1.6886649488701149,0.9999960039209842
VMD,pure,4,10.0,1.0875914468551483e-15,0.42137877598959805,5,0.7506242246684109,69527.49803826702,4.161579488492216,8.182083869065927,278.1099921530681,1.2067384462099938e-05,-0.755644124405392,0.211167141969448,1.095926670521425
VMD,mrw_modulated,0,6.0,0.001628598518594851,0.07023839383719965,5,0.00033342558449726833,0.015325715906430422,3.44916580934078,7.217193046658185,6.130282293303262e-05,0.08491454737449775,1.1972160382362071,0.1927758031099575,1.3790502553237285
VMD,mrw_modulated,1,30.0,0.001628598518594851,0.07023839383719965,5,0.00029955303124874934,0.01228748723833756,3.1921836652535247,28.3359625156342,4.9149948953350246e-05,0.023048837358685206,1.225741013703093,0.7090478939174084,1.0537124865592293
VMD,mrw_modulated,2,10.0,0.001628598518594851,0.07023839383719965,5,0.00015328544163857995,0.0034490470969365072,2.788413923938629,53.30080282760042,1.3796188387746027e-05,0.014067275991606523,2.762017690354428,1.2458105811311326,1.0276532240241432
VMD,mrw_modulated,3,80.0,0.001628598518594851,0.07023839383719965,5,0.00028213435497444374,0.011887817360755037,2.884557384228133,80.32753001749319,4.755126944302016e-05,-0.04738602650401698,4.1856047991047625,1.6914229055689605,1.0024150693809322
VMD,mrw_modulated,4,104.61818181818182,0.001628598518594851,0.07023839383719965,5,0.0001676849807447549,0.004179872017328388,2.9656777488375443,108.85827837465635,1.671948806931355e-05,0.0012728719843365815,2.8340026954990076,1.9501012773171358,1.0009605465102627
VMD,mrw_with_fbm,0,6.0,0.0010340081865679532,0.043948952972998334,5,0.0006949668507387202,0.06262592333907627,3.8465009193853588,2.732445593150248,0.00024752895617803015,-0.14090950238437508,0.08962370905166983,0.11293290330958652,2.40389370500103
VMD,mrw_with_fbm,1,30.0,0.0010340081865679532,0.043948952972998334,5,0.00035487805219290114,0.01708256661000886,3.3956743801364144,26.874198463624968,6.833026644003542e-05,-0.00951503539307808,0.8087024283833442,0.679225510323031,1.0796122477393193
VMD,mrw_with_fbm,2,10.0,0.0010340081865679532,0.043948952972998334,5,0.00020371897676113072,0.005705149883298064,3.4448281345799145,51.91430660607258,2.282059953319225e-05,-0.0024557896103602015,0.9417938373183383,1.2189268646626172,1.030365503646407
VMD,mrw_with_fbm,3,80.0,0.0010340081865679532,0.043948952972998334,5,0.0003000667770075697,0.012645260736482656,3.3906131580714587,80.20623661138328,5.058104294593063e-05,3.9850668990946014e-05,1.3020989289496852,1.6892157140986717,1.003460474348146
VMD,mrw_with_fbm,4,105.18787878787879,0.0010340081865679532,0.043948952972998334,5,0.00019443671568508504,0.005392031813494895,3.1897412321741463,108.86704855201162,2.1568127253979578e-05,0.0007469647178831915,1.9343078596815957,1.9499591131886926,1.001024292488123
VMDtransformer,pure,0,6.0,2.0983493930943247e-05,0.00031011353889829474,5,0.6365478336636857,41245.67300156552,4.280705145463461,6.003874275923527,164.98269200626208,-7.876952094925282e-05,-1.4998792730514816,0.15062074624299285,1.0001570585693922
VMDtransformer,pure,1,30.0,2.0983493930943247e-05,0.00031011353889829474,5,0.6356824718464004,41239.53096966384,3.113767605628011,30.000029159887706,164.95812387865539,3.01913460319615e-07,-1.4997897377588254,0.7362547756265809,0.9999998644753445
VMDtransformer,pure,2,10.0,2.0983493930943247e-05,0.00031011353889829474,5,0.6355447397556532,41226.25197619917,3.232425181445917,10.000222058267278,164.90500790479675,1.4903833129514915e-05,-1.499442407267607,0.25067431157736403,1.0000235446085137
VMDtransformer,pure,3,80.0,2.0983493930943247e-05,0.00031011353889829474,5,0.6165086248993188,38787.280208692544,3.209249529717133,80.00000218525824,155.1491208347703,7.411509636318362e-06,-1.499705024589259,1.688666085432534,0.9999950683151971
VMDtransformer,pure,4,80.0,2.0983493930943247e-05,0.00031011353889829474,5,0.019674629018930842,47.013772584141414,2.561194011291482,80.00591025735751,0.1880550903365657,0.005336421655757986,9.628875953442876,1.6887209354254487,1.0000227074764887
VMDtransformer,mrw_modulated,0,6.0,0.04880380534517931,0.3662853241530297,8,0.00028298902171184834,0.010720718668726863,3.634481385154626,5.889216254858181,4.288286825625697e-05,0.035575799860642084,0.7964635695657782,0.14990925544130196,1.144325698758086
VMDtransformer,mrw_modulated,1,10.0,0.04880380534517931,0.3662853241530297,8,0.00027613916493435963,0.009966193894000271,3.4278477320663203,10.192322721331507,3.986477486192315e-05,0.006787165805740218,0.787900551205893,0.2570480003268289,1.0458316061426394
VMDtransformer,mrw_modulated,2,30.0,0.04880380534517931,0.3662853241530297,8,0.0002664040121118077,0.00928391810815592,3.563341041882471,29.955419713570873,3.7135672423053954e-05,-2.965136801057477e-06,0.45176707861163523,0.7358939423354639,1.0043723674727953
VMDtransformer,mrw_modulated,3,44.21515151515152,0.04880380534517931,0.3662853241530297,8,9.793552505305734e-05,0.00138461112249564,3.0198902092514888,45.614964520041305,5.538444488204682e-06,0.0016709112075909398,2.014301416445555,1.0861437411204977,1.009198245177521
VMDtransformer,mrw_modulated,4,62.481818181818184,0.04880380534517931,0.3662853241530297,8,9.539550078077181e-05,0.001302646813391753,2.9841003387330627,62.914839444785144,5.210587253075578e-06,0.0007643133174887819,1.949886780401945,1.4215296945141815,1.0039578016284372
VMDtransformer,mrw_modulated,5,80.0,0.04880380534517931,0.3662853241530297,8,0.00025408559012746196,0.009336813262064191,2.932685598202925,80.01170696143629,3.734725304806875e-05,-0.014604407119710398,4.054590935749976,1.6886561644036289,1.0002529725354672
VMDtransformer,mrw_modulated,6,98.5060606060606,0.04880380534517931,0.3662853241530297,8,9.536915953332358e-05,0.0013175461448733116,3.4436345356690516,97.96432634481204,5.2701845794094354e-06,-4.422343024981196e-05,1.632876145745458,1.8839506028240722,1.0005489873125248
VMDtransformer,mrw_modulated,7,117.4,0.04880380534517931,0.3662853241530297,8,9.535080258105585e-05,0.0013314942406580836,2.9897038137175467,116.06797170371703,5.325976962589828e-06,0.00035250346285102595,2.4740380705435987,1.9854606587089643,1.0000794882126045
VMDtransformer,mrw_with_fbm,0,0.012121212121212121,0.045209539930870866,0.22719845889820164,8,0.0005663466843031002,0.04100494289121014,3.9390276595536937,0.5201721912531249,0.00016111411904512924,-0.2887569051278459,0.1674203686254616,0.02947046339272483,7.578976779233481
VMDtransformer,mrw_with_fbm,1,10.0,0.045209539930870866,0.22719845889820164,8,0.00037458839333165633,0.018765779041810347,3.6299245356190206,8.726582388299285,7.506308494091722e-05,-0.0006354294546196748,0.5183983813718589,0.22586940362012914,1.1365769434544921
VMDtransformer,mrw_with_fbm,2,30.0,0.045209539930870866,0.22719845889820164,8,0.00029223234217074304,0.01148018361609105,3.489522621237822,29.826423822020047,4.592073423570272e-05,-0.00033050564556111686,0.7450490764933932,0.7333467587102858,1.006951281565544
VMDtransformer,mrw_with_fbm,3,43.83030303030303,0.045209539930870866,0.22719845889820164,8,0.00013047960182837736,0.002291805232678114,3.6029770397606784,44.58437729955382,9.16722088497314e-06,0.00021281222825458472,0.536027753499996,1.0645017030941588,1.0099029204415537
VMDtransformer,mrw_with_fbm,4,61.9969696969697,0.045209539930870866,0.22719845889820164,8,0.00012288309472534417,0.0020724523807148483,3.6036191435113714,62.502701545182,8.289809511011351e-06,-0.00034692774366737634,0.8337467063539061,1.4142998183222886,1.0040445552026431
VMDtransformer,mrw_with_fbm,5,80.0,0.045209539930870866,0.22719845889820164,8,0.0002575371204481967,0.008982318772616798,3.5915644881360502,79.96774956164064,3.592927508604224e-05,0.0015338991686050516,0.7300880460048997,1.6880069336126564,1.0003686189374608
VMDtransformer,mrw_with_fbm,6,95.9090909090909,0.045209539930870866,0.22719845889820164,8,0.00011156099536411647,0.0017051992413018864,3.524079191993763,96.77269143092933,6.820796963141136e-06,8.40031238422316e-05,0.8146231938787638,1.8737645976048964,1.0006197136053165
VMDtransformer,mrw_with_fbm,7,118.00909090909092,0.045209539930870866,0.22719845889820164,8,0.00011128245309389852,0.0017425068992488765,3.364566004253503,115.48028014134253,6.9700275959770496e-06,-6.195129562796871e-05,1.4976046627618214,1.9836696496678852,1.0000933176873728
